shared-library,"/System/Library/Frameworks/Security.framework/Versions/A/Security",0x7fff903ea740,0x7fff905a1df1
shared-library,"/System/Library/Frameworks/Carbon.framework/Versions/A/Frameworks/SpeechRecognition.framework/Versions/A/SpeechRecognition",0x7fff8ff1b0a2,0x7fff8ff2153c
shared-library,"/usr/lib/libicucore.A.dylib",0x7fff997edba8,0x7fff9995852b
shared-library,"/usr/lib/libxml2.2.dylib",0x7fff90751150,0x7fff9081567f
shared-library,"/System/Library/PrivateFrameworks/CoreUI.framework/Versions/A/CoreUI",0x7fff9841b260,0x7fff984a4d3c
shared-library,"/System/Library/Frameworks/DiskArbitration.framework/Versions/A/DiskArbitration",0x7fff8f6ea320,0x7fff8f6ede2e
shared-library,"/usr/lib/liblangid.dylib",0x7fff8dfe9157,0x7fff8dfe9a32
shared-library,"/System/Library/PrivateFrameworks/MultitouchSupport.framework/Versions/A/MultitouchSupport",0x7fff8deb6a60,0x7fff8dec5c1f
shared-library,"/System/Library/Frameworks/IOKit.framework/Versions/A/IOKit",0x7fff9a087644,0x7fff9a0d9370
shared-library,"/System/Library/PrivateFrameworks/PerformanceAnalysis.framework/Versions/A/PerformanceAnalysis",0x7fff8f590640,0x7fff8f5a9764
shared-library,"/System/Library/PrivateFrameworks/GenerationalStorage.framework/Versions/A/GenerationalStorage",0x7fff932f92f0,0x7fff9330a32f
shared-library,"/System/Library/Frameworks/CoreText.framework/Versions/A/CoreText",0x7fff93f8e4a0,0x7fff9403211a
shared-library,"/System/Library/Frameworks/ImageIO.framework/Versions/A/ImageIO",0x7fff99a504f0,0x7fff99b29690
shared-library,"/System/Library/PrivateFrameworks/Backup.framework/Versions/A/Backup",0x7fff941ca9d0,0x7fff9425083c
shared-library,"/System/Library/Frameworks/CFNetwork.framework/Versions/A/CFNetwork",0x7fff93d5a520,0x7fff93e771cd
shared-library,"/System/Library/Frameworks/SystemConfiguration.framework/Versions/A/SystemConfiguration",0x7fff94b3db10,0x7fff94b7aef6
shared-library,"/usr/lib/libCRFSuite.dylib",0x7fff96290490,0x7fff962a8a48
shared-library,"/System/Library/PrivateFrameworks/TCC.framework/Versions/A/TCC",0x7fff94b376b0,0x7fff94b39c79
shared-library,"/usr/lib/libbsm.0.dylib",0x7fff9a1b8308,0x7fff9a1c6c73
shared-library,"/usr/lib/libsqlite3.dylib",0x7fff96142880,0x7fff9622c4c0
shared-library,"/usr/lib/libxar.1.dylib",0x7fff93688fb8,0x7fff93694804
shared-library,"/usr/lib/libpam.2.dylib",0x7fff9a081780,0x7fff9a084548
shared-library,"/usr/lib/libOpenScriptingUtil.dylib",0x7fff941c8d6c,0x7fff941c8ece
shared-library,"/usr/lib/libbz2.1.0.dylib",0x7fff97acbbdc,0x7fff97ad786c
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/CarbonCore",0x7fff8ee6bd40,0x7fff8ef4c751
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/Metadata.framework/Versions/A/Metadata",0x7fff91f406d0,0x7fff91f9d0bb
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/OSServices.framework/Versions/A/OSServices",0x7fff91b826c0,0x7fff91bf6597
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/SearchKit.framework/Versions/A/SearchKit",0x7fff98572ad8,0x7fff985c6dcc
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/AE.framework/Versions/A/AE",0x7fff90048860,0x7fff90092ad5
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/LaunchServices.framework/Versions/A/LaunchServices",0x7fff96a55c8c,0x7fff96adfc2d
shared-library,"/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/DictionaryServices",0x7fff979868b8,0x7fff979a8bee
shared-library,"/System/Library/Frameworks/NetFS.framework/Versions/A/NetFS",0x7fff95ff2ba0,0x7fff95ff7efe
shared-library,"/usr/lib/system/libkxld.dylib",0x7fff9347a06c,0x7fff93483fc4
shared-library,"/System/Library/PrivateFrameworks/NetAuth.framework/Versions/A/NetAuth",0x7fff9a8fe030,0x7fff9a907821
shared-library,"/System/Library/Frameworks/OpenDirectory.framework/Versions/A/Frameworks/CFOpenDirectory.framework/Versions/A/CFOpenDirectory",0x7fff8dd68180,0x7fff8dd75b8a
shared-library,"/usr/lib/libxslt.1.dylib",0x7fff98668e64,0x7fff9868898f
shared-library,"/System/Library/PrivateFrameworks/FamilyControls.framework/Versions/A/FamilyControls",0x7fff99b6a9dc,0x7fff99b83b2f
